Season,Player Name,Position,In Top 24
2015,Todd Gurley,WR,False
2015,Melvin Gordon,WR,False
2015,T.J. Yeldon,WR,False
2015,Ameer Abdullah,WR,False
2015,Tevin Coleman,WR,False
2016,Ezekiel Elliott,WR,False
2016,Derrick Henry,WR,False
2016,Kenyan Drake,WR,False
2016,C.J. Prosise,WR,False
2016,Tyler Ervin,WR,False
2017,Leonard Fournette,WR,False
2017,Christian McCaffrey,WR,False
2017,Dalvin Cook,WR,False
2017,Joe Mixon,WR,False
2017,Alvin Kamara,WR,False
2018,Saquon Barkley,WR,False
2018,Rashaad Penny,WR,False
2018,Sony Michel,WR,False
2018,Nick Chubb,WR,False
2018,Ronald Jones,WR,False
2019,Josh Jacobs,WR,False
2019,Miles Sanders,WR,False
2019,Darrell Henderson,WR,False
2019,David Montgomery,WR,False
2019,Devin Singletary,WR,False
